timestamp,student_id,yaw,pitch,roll,blink_rate,mouth_ratio,mobile_ratio
2026-02-28 06:07:48,23MIS0407,11.3,22.42,-3.15,12.9,0.07,0.0
2026-02-28 06:08:19,23MIS0407,10.89,23.19,1.7,50.4,0.39,0.0
2026-02-28 06:08:49,23MIS0407,8.71,15.1,-1.31,73.67,0.0,0.23
2026-02-28 06:09:19,23MIS0407,8.57,7.78,-0.29,100.0,0.0,0.08
2026-02-28 06:09:49,23MIS0407,5.71,6.01,0.21,95.0,0.0,0.32
2026-02-28 06:09:49,Unknown,0.87,-0.82,-0.42,48.0,0.01,0.45
2026-02-28 06:10:19,Unknown,2.63,3.21,10.02,124.8,0.0,0.49
2026-02-28 06:10:49,Unknown,18.09,29.34,-2.7,112.8,0.0,0.33
2026-02-28 06:10:49,23MIS0407,16.29,25.53,-0.33,49.6,0.0,0.16
2026-02-28 06:11:19,Unknown,18.84,30.36,-3.69,110.4,0.0,0.45
2026-02-28 06:11:19,23MIS0407,19.68,33.76,-2.27,65.6,0.0,0.27
